,to,wheat,the,u,s,said,it,will,its,of,in,",",for,at,(,),was,is,that,from,and,on,000,tonnes,price,with,prices,but,would,not,"""",a,",""",last,this,as,be,by,he,-,grain,mln,corn,',were,1,5,0,2,4,3,1986,/,87,production,has,year,an,are,have,which,dlrs,pct,oil,crude,opec
/scratch/reuters-topics/grain/article176.txt,0.08366672861384973,0.5034914852272602,0.40384376509680653,0.12420302507392067,0.09116598710496432,0.16931789072899642,0.24067600481775514,0.1389685656912889,0.13913082697390822,0.33710288365334634,0.27349796131489296,0.15140832001527688,0.09702605046323158,0.12046358338068897,0.15484387861968618,0.1627132713134193,0.13260937783805288,0.12607944241507862,0.2679169478619981,0.12185946873266791,0.08652704764185712,0.11860225032917063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/scratch/reuters-topics/grain/article286.txt,0.0,0.6002668500302949,0.0,0.0,0.0,0.1513966768610691,0.0,0.0,0.24880944077547273,0.1507113516642104,0.0,0.2707654389118208,0.3470258587758802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42419584819470074,0.2698917999160555,0.2925989316365968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/scratch/reuters-topics/grain/article546.txt,0.2616872107379748,0.36745031630308106,0.4294592972907019,0.3107791470783791,0.22811431282110045,0.07943718002422359,0.0752770347732851,0.0,0.0,0.10543679048587724,0.08554286730791266,0.11839120999396212,0.030347160616056475,0.0753555915300259,0.04843103509263734,0.05089237122749362,0.08295335261475459,0.1971714333978363,0.08379727516181625,0.0381143914707627,0.10825341029070067,0.11128686130110053,0.0,0.05117513032478085,0.11879108403651148,0.08553355621481899,0.20527135237567481,0.04603914465251238,0.1430601397631301,0.14251312393655347,0.375727698699017,0.14362768579144766,0.10409022897088735,0.0479321260319044,0.09416902744633776,0.04493129512342144,0.04152317645555624,0.07512032677263718,0.050132422157930664,0.06816992290624536,0.11698991432227811,0.04266866668560543,0.06491268260765744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/scratch/reuters-topics/grain/article342.txt,0.0,0.0,0.32509576356544273,0.0,0.18347241402861048,0.17037693078732566,0.0,0.0,0.0,0.339211375886684,0.0,0.30471068058787626,0.19526584713721062,0.4848682090162612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3292813881882047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21931636231106652,0.37638010052516496,0.0,0.0,0.2286822079521057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/scratch/reuters-topics/grain/article294.txt,0.033476910564443185,0.0,0.0,0.0,0.0,0.03387391845482344,0.0,0.0,0.0,0.0,0.0,0.21203637397372094,0.0,0.09640029373492463,0.0,0.0,0.0,0.0,0.0,0.0,0.03462138753722311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04360393474869563,0.4489857438195894,0.0,0.0,0.0,0.12311185522420093,0.697903861574959,0.07372271802137252,0.4618817417640724,0.07207849212475283,0.07929869070562238,0.07944538396667067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/scratch/reuters-topics/grain/article040.txt,0.0,0.014918827104465805,0.014359429270529937,0.011040683971605306,0.008103947967340621,0.0,0.0,0.0,0.0,0.007491456834723501,0.008103947967340621,0.11440169829363143,0.00862486207191824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007691582289893613,0.0,0.0,0.0,0.0,0.012154598814149995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012769768745584886,0.0,0.021349689528074724,0.0,0.14530754374972293,0.0,0.012126714904632208,0.0,0.0,0.0,0.23961999735105408,0.0,0.0,0.032026310494513,0.0,0.0,0.09517623168271684,0.7641539392015464,0.5532322563643276,0.08070629785916802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/scratch/reuters-topics/grain/article061.txt,0.2868206576111127,0.0,0.13844300619402944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1297619574532607,0.0,0.41296516280571843,0.0,0.0,0.0,0.0,0.0,0.0,0.14831310556151794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6411303797605532,0.0,0.0,0.0,0.5273936973239444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/scratch/reuters-topics/grain/article285.txt,0.0,0.0,0.11867800163418402,0.2737475743093362,0.2009328501833761,0.12439407667848706,0.0,0.20419420939007843,0.10221631443917903,0.061915491885070124,0.0,0.5005634159445687,0.2851314981345214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06356949140331448,0.26140328156996195,0.22175480961488533,0.24041197397910433,0.0,0.0,0.0,0.10814199764587923,0.0,0.11158369708773927,0.0,0.06747382027174223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160125295508605,0.0,0.0,0.4574229531887224,0.0,0.0,0.11649497262882787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10391377599593404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/scratch/reuters-topics/grain/article171.txt,0.20169726307068164,0.06743212440875705,0.5679072238389073,0.0,0.07325863135342955,0.18708178710048776,0.07252538174788238,0.0,0.05590096858954711,0.2539567181176188,0.18314657838357387,0.3193780099540852,0.13644334695973076,0.07260106696567373,0.06221426971483468,0.06537609001993273,0.10656146917885521,0.02532854545439688,0.0,0.0489615600088488,0.17382724869740024,0.04765285174035455,0.030318811421827338,0.06573932096697531,0.0,0.05493799302285305,0.03296132133300866,0.02957082950398405,0.15314529384654824,0.06102388625759721,0.30166122226020253,0.0553510258365617,0.0668568983451086,0.030786686793399683,0.0,0.057718520946299985,0.08001070267695075,0.09649920266952661,0.0,0.06567806101009893,0.0,0.3288717574348353,0.0,0.0913104330051448,0.09271809969768166,0.0637098083754443,0.0,0.0,0.03618920808079187,0.039814329266394395,0.0,0.07169839213504593,0.0,0.0,0.03647871967214201,0.05682929148679446,0.029389664142302478,0.027064160956230373,0.03114768927345999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/scratch/reuters-topics/grain/article442.txt,0.12488951341057804,0.0,0.32150319664655536,0.1235987560216066,0.09072244891740079,0.08424706505276774,0.0,0.13829245974747842,0.0,0.33546282021756196,0.18144489783480158,0.565018846986772,0.04827700103040048,0.05993875367728287,0.0,0.0,0.13196421043551607,0.0,0.1333067429442252,0.0,0.0861060786916487,0.17703784501211828,0.0,0.0,0.0,0.0,0.16327532937148823,0.07324019080230253,0.0,0.0,0.0,0.18278913200937996,0.0,0.0,0.07490318933912546,0.0,0.0,0.05975162122890378,0.0,0.16266955647141482,0.18611040043379898,0.0678783524959136,0.3097940217324191,0.0,0.0,0.07889732211886397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09034945700970042,0.0,0.0,0.1340634906485448,0.0,0.08018683695377796,0.07837328912098901,0.07424736200124213,0.0,0.0,0.0,0.0
