,to,wheat,the,u,s,said,it,will,its,of,in,",",for,at,(,),was,is,that,from,and,on,000,tonnes,price,with,prices,but,would,not,"""",a,",""",last,this,as,be,by,he,-,grain,mln,corn,',were,1,5,0,2,4,3,1986,/,87,production,has,year,an,are,have,which,dlrs,pct,oil,crude,opec
/scratch/reuters-topics/grain/article176.txt,1,3,5,1,1,2,2,1,1,4,3,2,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/scratch/reuters-topics/grain/article286.txt,0,2,0,0,0,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/scratch/reuters-topics/grain/article546.txt,10,7,17,8,8,3,2,0,0,4,3,5,1,2,1,1,2,5,2,1,4,3,0,1,2,2,4,1,3,3,8,5,2,1,2,1,1,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/scratch/reuters-topics/grain/article342.txt,0,0,2,0,1,1,0,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/scratch/reuters-topics/grain/article294.txt,1,0,0,0,0,1,0,0,0,0,0,7,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,11,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/scratch/reuters-topics/grain/article040.txt,0,1,2,1,1,0,0,0,0,1,1,17,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,15,0,1,0,0,0,17,0,0,2,0,0,6,51,26,5,0,0,0,0,0,0,0,0,0,0,0
/scratch/reuters-topics/grain/article061.txt,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/scratch/reuters-topics/grain/article285.txt,0,0,2,3,3,2,0,2,1,1,0,9,4,0,0,0,0,0,0,0,1,3,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/scratch/reuters-topics/grain/article171.txt,12,2,35,0,4,11,3,0,2,15,10,21,7,3,2,2,4,1,0,2,10,2,1,2,0,2,1,1,5,2,10,3,2,1,0,2,3,4,0,3,0,12,0,4,3,2,0,0,1,1,0,2,0,0,1,2,1,1,1,0,0,0,0,0,0,0
/scratch/reuters-topics/grain/article442.txt,3,0,8,2,2,2,0,2,0,8,4,15,1,1,0,0,2,0,2,0,2,3,0,0,0,0,2,1,0,0,0,4,0,0,1,0,0,1,0,3,2,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,0,0,0,0
